pId;TemaId;TemaTitulo;Año;Pregunta;Correcta;Distractor1;Distractor2
1;1;Introducción;2015;Definimos las relaciones sintácticas como;Relaciones entre constructos teóricos;Relaciones entre conductas empíricas;Relaciones entre constructos teóricos y conductas empíricas
2;1;Introducción;2015;Si estoy interesado en tener una visión global y holística de la personalidad de un paciente debería utilizar;Un test proyectivo;Un test psicométrico;Un test de potencia
3;1;Introducción;2015;Cuando se calculan índices de acuerdo entre observadores en los test proyectivos solemos encontrar, respecto a los test psicométricos;Valores más bajos;Valores más altos;Valores iguales
4;1;Introducción;2015;Cuando calculo un índice de acuerdo entre observadores con un test proyectivo (pe. el test del árbol) estoy estimando;La fiabilidad de la prueba;La validez de la prueba;La relevancia de la prueba
5;1;Introducción;2015;Los test de ejecución típica se utilizan frecuentemente para medir;Personalidad;Inteligencia;Aptitudes
6;1;Introducción;2015;Un índice de dificultad de 0.95, en un test de ejecución típica nos indicaría;El grado de similaridad o comunalidad de esa respuesta en la muestra;El grado de dificultad del ítem para esa muestra;El grado de facilidad del ítem para esa muestra
7;1;Introducción;2015;En cuál de los siguientes test cabría esperar un menor cansancio de los sujetos al contestarlo;Un test de ejecución típica;Un test de ejecución máxima;Un test de Aptitudes numéricas
8;1;Introducción;2015;Utilizando un test objetivo (pe. el registro de la conductancia dérmica para medir la ansiedad) garantizamos;Una alta fiabilidad;Una alta validez;Tanto una alta fiabilidad como una alta validez
9;1;Introducción;2015;Ante la aplicación masiva de test en un proceso de selección para un puesto de trabajo, el tipo de test más recomendado utilizar sería;Un test de lápiz y papel;Un test manipulativo;Un test oral
10;1;Introducción;2015;La principal ventaja de un test computerizado sería;La posibilidad de que el test se adapte al sujeto;La fácil corrección del mismo;La posibilidad de omitir las instrucciones
11;1;Introducción;2015;En un test de velocidad, una persona con mayor inteligencia;Acierta mayor cantidad de preguntas;Acierta preguntas más difíciles;Tarda más tiempo en contestar las preguntas
12;1;Introducción;2015;En general una omisión en un test de velocidad puro indica;Que el sujeto no ha tenido tiempo de leer la pregunta;Que el sujeto no conoce la respuesta;Que el sujeto no está seguro de la respuesta correcta
13;1;Introducción;2015;En general una omisión en un test de potencia puro indica;Que el sujeto no conoce la respuesta;Que el sujeto no ha tenido tiempo de leer la pregunta;Que el sujeto prefiere no dar su opinión al respecto
